FeatureName
ACOT1|ACOT2.1
Unnamed: 30203
ADAMTS7P1|ADAMTS7
Unnamed: 32628
Unnamed: 11786
Unnamed: 44043
Unnamed: 39219
Unnamed: 34788
Unnamed: 18650
DDOST
SGPP1.1
Unnamed: 23410
Unnamed: 23425
Unnamed: 35911
clinico.genetic.subgroup_ST1
Unnamed: 27244
Unnamed: 27880
Unnamed: 2388
PER3
Unnamed: 29915
Unnamed: 7785
Unnamed: 35736
Unnamed: 15891
Unnamed: 30904
TYW5
UCKL1-AS1
Unnamed: 10440
Unnamed: 5300
Unnamed: 28864
Unnamed: 1657
Unnamed: 5824
SLC16A10
Unnamed: 20232
ESR1.2
Unnamed: 2268
Unnamed: 27292
Unnamed: 10459
Unnamed: 32852
CTF1.1
Unnamed: 18444
RFX6
Unnamed: 28434
Unnamed: 41174
DNAH17.1
BCDIN3D
Unnamed: 8332
Unnamed: 4714
Unnamed: 36423
Unnamed: 23047
Unnamed: 2578
Unnamed: 32978
Unnamed: 31067
MTMR9LP
Unnamed: 3572
Unnamed: 30866
Unnamed: 31810
Unnamed: 6699
Unnamed: 27889
HCRTR1.1
Unnamed: 23356
R3HDM2
Unnamed: 10741
Unnamed: 7285
Unnamed: 20876
Unnamed: 26395
Unnamed: 4285
Unnamed: 23848
Unnamed: 10181
Unnamed: 12656
Unnamed: 35402
Unnamed: 29490
RAD50|TH2LCRR
Unnamed: 28941
Unnamed: 35698
Unnamed: 29728
HPS4
Unnamed: 22643
RIPK1
Unnamed: 19122
GPNMB.1
Unnamed: 23282
LINC00339
NDUFAF8
Unnamed: 40562
Unnamed: 34510
Unnamed: 10081
Unnamed: 34625
OR8K3
Unnamed: 7357
Unnamed: 27611
Unnamed: 20602
Unnamed: 11818
Unnamed: 18517
Unnamed: 38351
Unnamed: 6292
Unnamed: 36674
Unnamed: 32365
Unnamed: 1317
Unnamed: 13614
CILP2
Unnamed: 29600
Unnamed: 42100
Unnamed: 11059
Unnamed: 44530
Unnamed: 13566
Unnamed: 19842
Unnamed: 12303
TMEM80
Unnamed: 40602
NRTN
Unnamed: 25494
Unnamed: 36080
